date,hour_from,hour_to,price_pln_per_mwh,volume_mwh
2025-02-06,9,10,630.0,3703.4
2025-02-06,10,11,542.0,3408.3
2025-02-06,11,12,516.0,3526.3
2025-02-06,12,13,489.56,3703.6
2025-02-06,13,14,489.66,3646.4
2025-02-06,14,15,489.56,3893.0
2025-02-06,15,16,508.9,3864.9
2025-02-06,16,17,577.57,4145.6
2025-02-06,17,18,604.19,4436.1
2025-02-06,18,19,626.2,4498.5
2025-02-06,19,20,590.0,4419.2
2025-02-06,20,21,510.0,4131.6
2025-02-06,21,22,457.95,3618.3
2025-02-06,22,23,477.97,3858.6
2025-02-06,23,24,435.1,3615.9
2025-02-07,0,1,425.0,3931.6
2025-02-07,1,2,409.0,3887.1
2025-02-07,2,3,401.99,3756.3
2025-02-07,3,4,395.12,3799.5
2025-02-07,4,5,395.51,3793.6
2025-02-07,5,6,399.0,3878.3
2025-02-07,6,7,409.0,4055.4
2025-02-07,7,8,454.4,3869.4
2025-02-07,8,9,487.27,4141.3
2025-02-07,9,10,423.37,4110.8
2025-02-07,10,11,350.0,4405.6
2025-02-07,11,12,327.33,4230.1
2025-02-07,12,13,323.72,4444.3
2025-02-07,13,14,342.3,4112.9
2025-02-07,14,15,394.05,4154.9
2025-02-07,15,16,489.77,3976.0
2025-02-07,16,17,584.4,3984.6
2025-02-07,17,18,650.15,4373.5
2025-02-07,18,19,660.2,4209.9
2025-02-07,19,20,649.0,4112.6
2025-02-07,20,21,605.99,3814.3
2025-02-07,21,22,580.0,3557.6
2025-02-07,22,23,562.0,3679.8
2025-02-07,23,24,536.27,3614.4
2025-02-08,0,1,521.89,2859.9
2025-02-08,1,2,506.01,2813.6
2025-02-08,2,3,495.2,2639.5
2025-02-08,3,4,480.04,2674.2
2025-02-08,4,5,491.22,2693.3
2025-02-08,5,6,488.71,2594.7
2025-02-08,6,7,502.74,2635.9
2025-02-08,7,8,525.0,2847.2
2025-02-08,8,9,526.66,3137.5
2025-02-08,9,10,492.27,3062.1
2025-02-08,10,11,420.0,2900.8
2025-02-08,11,12,401.99,3182.3
2025-02-08,12,13,400.0,3004.6
2025-02-08,13,14,410.0,2639.7
2025-02-08,14,15,449.04,2350.1
2025-02-08,15,16,504.0,2623.1
2025-02-08,16,17,590.0,3291.3
2025-02-08,17,18,643.44,3721.4
2025-02-08,18,19,659.45,3875.0
2025-02-08,19,20,650.0,3899.7
2025-02-08,20,21,624.0,3585.3
2025-02-08,21,22,590.0,3272.5
2025-02-08,22,23,565.0,3052.7
2025-02-08,23,24,520.0,2765.6
2025-02-09,0,1,519.46,2302.9
2025-02-09,1,2,491.79,2100.4
2025-02-09,2,3,480.0,2001.9
2025-02-09,3,4,462.0,2204.9
2025-02-09,4,5,466.02,2218.8
2025-02-09,5,6,498.9,2302.3
2025-02-09,6,7,604.89,3478.0
2025-02-09,7,8,712.13,3283.1
2025-02-09,8,9,723.64,3813.8
2025-02-09,9,10,617.3,3653.8
2025-02-09,10,11,524.0,3914.3
2025-02-09,11,12,442.18,4296.1
2025-02-09,12,13,410.0,4419.8
2025-02-09,13,14,442.18,3896.6
2025-02-09,14,15,463.0,3891.7
2025-02-09,15,16,541.08,3144.6
2025-02-09,16,17,599.4,3237.0
2025-02-09,17,18,650.0,4119.2
2025-02-09,18,19,650.0,4228.6
2025-02-09,19,20,625.4,4244.3
2025-02-09,20,21,561.71,3473.0
2025-02-09,21,22,499.93,3262.6
2025-02-09,22,23,491.42,3178.5
2025-02-09,23,24,444.78,2867.8
2025-02-10,0,1,481.2,2620.4
2025-02-10,1,2,454.3,2257.5
2025-02-10,2,3,441.6,2129.1
2025-02-10,3,4,443.0,2128.9
2025-02-10,4,5,466.8,2360.5
2025-02-10,5,6,499.3,2748.6
2025-02-10,6,7,616.0,4122.1
2025-02-10,7,8,700.0,3668.6
2025-02-10,8,9,643.13,3510.5
2025-02-10,9,10,480.22,3089.7
2025-02-10,10,11,397.99,3341.2
2025-02-10,11,12,357.99,4002.1
2025-02-10,12,13,320.0,4079.8
2025-02-10,13,14,379.99,3659.7
2025-02-10,14,15,410.0,2954.4
2025-02-10,15,16,558.0,3384.8
2025-02-10,16,17,624.8,3450.5
2025-02-10,17,18,656.6,3611.4
2025-02-10,18,19,672.8,4056.8
2025-02-10,19,20,709.99,4188.6
2025-02-10,20,21,632.0,3844.0
2025-02-10,21,22,569.49,3587.6
2025-02-10,22,23,546.3,3638.8
2025-02-10,23,24,509.56,3123.1
2025-02-11,0,1,514.9,2905.7
2025-02-11,1,2,500.0,2754.0
2025-02-11,2,3,494.0,2556.9
2025-02-11,3,4,487.18,2825.0
2025-02-11,4,5,502.0,2906.1
2025-02-11,5,6,534.0,3386.2
2025-02-11,6,7,640.0,4228.6
2025-02-11,7,8,780.0,4028.8
2025-02-11,8,9,740.11,4086.3
2025-02-11,9,10,550.0,3793.4
2025-02-11,10,11,464.33,4235.3
2025-02-11,11,12,413.9,4541.3
2025-02-11,12,13,424.16,4421.0
2025-02-11,13,14,484.0,3660.2
2025-02-11,14,15,526.0,3551.7
2025-02-11,15,16,607.9,3539.4
2025-02-11,16,17,652.0,3785.0
2025-02-11,17,18,710.0,4285.4
2025-02-11,18,19,680.0,4370.8
2025-02-11,19,20,673.0,4345.4
2025-02-11,20,21,690.0,4438.0
2025-02-11,21,22,610.0,3713.1
2025-02-11,22,23,618.47,4046.1
2025-02-11,23,24,560.0,4185.7
2025-02-12,0,1,578.0,3290.4
2025-02-12,1,2,550.0,3663.0
2025-02-12,2,3,532.0,3698.2
2025-02-12,3,4,529.0,3702.6
2025-02-12,4,5,538.0,3560.8
2025-02-12,5,6,566.11,3592.8
2025-02-12,6,7,666.0,4365.7
2025-02-12,7,8,800.0,4057.8
2025-02-12,8,9,899.0,4364.8
2025-02-12,9,10,770.0,4091.0
2025-02-12,10,11,668.0,4086.4
2025-02-12,11,12,649.99,4303.0
2025-02-12,12,13,649.88,4285.7
2025-02-12,13,14,671.46,4331.5
2025-02-12,14,15,657.86,4228.1
2025-02-12,15,16,715.55,4373.1
2025-02-12,16,17,770.1,4495.5
2025-02-12,17,18,820.0,4820.5
2025-02-12,18,19,819.85,4540.6
2025-02-12,19,20,810.86,4630.1
2025-02-12,20,21,717.7,4469.7
2025-02-12,21,22,629.0,3896.3
2025-02-12,22,23,638.0,4537.3
2025-02-12,23,24,572.0,3932.5
2025-02-13,0,1,601.01,3233.1
2025-02-13,1,2,545.0,3772.8
2025-02-13,2,3,533.16,3815.9
2025-02-13,3,4,520.0,3839.9
2025-02-13,4,5,539.46,3871.8
2025-02-13,5,6,584.0,4068.0
2025-02-13,6,7,667.4,4692.6
2025-02-13,7,8,925.0,4381.0
2025-02-13,8,9,995.0,4528.4
2025-02-13,9,10,830.0,4227.4
2025-02-13,10,11,710.0,4486.4
2025-02-13,11,12,685.0,4635.1
2025-02-13,12,13,650.0,4804.9
2025-02-13,13,14,665.95,4891.1
2025-02-13,14,15,685.0,4702.4
2025-02-13,15,16,744.0,4563.1
2025-02-13,16,17,988.09,4563.3
2025-02-13,17,18,1250.0,4482.9
2025-02-13,18,19,1174.22,4682.0
2025-02-13,19,20,963.48,4552.3
2025-02-13,20,21,858.1,4270.8
2025-02-13,21,22,701.6,4082.3
2025-02-13,22,23,690.0,4803.3
2025-02-13,23,24,620.0,4506.2
2025-02-14,0,1,596.0,3177.4
2025-02-14,1,2,545.14,3131.7
2025-02-14,2,3,525.3,3117.9
2025-02-14,3,4,510.0,3057.5
2025-02-14,4,5,510.0,2923.1
2025-02-14,5,6,518.0,3071.2
2025-02-14,6,7,550.0,3051.9
2025-02-14,7,8,604.0,3467.3
2025-02-14,8,9,614.0,3963.2
2025-02-14,9,10,581.65,3662.2
2025-02-14,10,11,515.19,3784.4
2025-02-14,11,12,492.0,3660.0
2025-02-14,12,13,470.0,3550.0
2025-02-14,13,14,488.46,3579.2
2025-02-14,14,15,519.89,3632.1
2025-02-14,15,16,596.0,3680.9
2025-02-14,16,17,650.0,4323.5
2025-02-14,17,18,730.0,4582.3
2025-02-14,18,19,754.89,4538.0
2025-02-14,19,20,711.68,4479.8
2025-02-14,20,21,635.65,4037.0
2025-02-14,21,22,600.0,3562.6
2025-02-14,22,23,557.46,3131.7
2025-02-14,23,24,522.0,2926.9
2025-02-15,0,1,548.16,2344.4
2025-02-15,1,2,510.0,2417.2
2025-02-15,2,3,483.12,2320.8
2025-02-15,3,4,460.0,2240.8
2025-02-15,4,5,460.0,2248.0
2025-02-15,5,6,478.0,2136.5
2025-02-15,6,7,500.0,2024.6
2025-02-15,7,8,540.0,2196.4
2025-02-15,8,9,550.0,2595.4
2025-02-15,9,10,496.5,2739.0
2025-02-15,10,11,432.97,2963.7
2025-02-15,11,12,400.77,3294.6
2025-02-15,12,13,391.0,3281.9
2025-02-15,13,14,404.99,2855.8
2025-02-15,14,15,429.02,2654.6
2025-02-15,15,16,500.55,2743.4
2025-02-15,16,17,620.0,3236.1
2025-02-15,17,18,819.4,3761.2
2025-02-15,18,19,750.0,3905.3
2025-02-15,19,20,720.0,4094.0
2025-02-15,20,21,656.0,4307.5
2025-02-15,21,22,604.0,3781.3
2025-02-15,22,23,576.0,3458.9
2025-02-15,23,24,536.0,3076.6
2025-02-16,0,1,525.0,2557.7
2025-02-16,1,2,506.0,3022.7
2025-02-16,2,3,491.94,3161.3
2025-02-16,3,4,485.0,3176.5
2025-02-16,4,5,493.62,2961.5
2025-02-16,5,6,532.0,3356.9
2025-02-16,6,7,690.0,4261.3
2025-02-16,7,8,898.27,3916.5
2025-02-16,8,9,755.0,4248.6
2025-02-16,9,10,590.0,3682.6
2025-02-16,10,11,515.9,3753.7
2025-02-16,11,12,420.0,4233.0
2025-02-16,12,13,400.0,4350.9
2025-02-16,13,14,439.0,4034.5
2025-02-16,14,15,492.78,3497.4
2025-02-16,15,16,577.39,3560.5
2025-02-16,16,17,800.0,4485.0
2025-02-16,17,18,1129.02,4662.2
2025-02-16,18,19,1137.92,4673.0
2025-02-16,19,20,927.0,4797.7
2025-02-16,20,21,780.7,4638.4
2025-02-16,21,22,650.0,3952.6
2025-02-16,22,23,605.0,5148.6
2025-02-16,23,24,537.76,4401.8
2025-02-17,0,1,556.0,3336.1
2025-02-17,1,2,530.0,3476.8
2025-02-17,2,3,520.0,3503.5
2025-02-17,3,4,522.53,3455.5
2025-02-17,4,5,530.0,3422.2
2025-02-17,5,6,560.2,3645.4
2025-02-17,6,7,673.9,4348.4
2025-02-17,7,8,868.99,3857.5
2025-02-17,8,9,779.0,4024.5
2025-02-17,9,10,592.7,3429.4
2025-02-17,10,11,493.77,3633.7
2025-02-17,11,12,450.0,3985.8
2025-02-17,12,13,425.0,3944.8
2025-02-17,13,14,430.57,3566.6
2025-02-17,14,15,460.7,3080.1
2025-02-17,15,16,558.4,3580.6
2025-02-17,16,17,743.0,4566.9
2025-02-17,17,18,850.0,4826.6
2025-02-17,18,19,803.25,4711.3
2025-02-17,19,20,748.25,4390.7
2025-02-17,20,21,650.0,4246.5
2025-02-17,21,22,550.89,3638.4
2025-02-17,22,23,528.0,4049.6
2025-02-17,23,24,500.0,3381.2
2025-02-18,0,1,465.27,2691.0
2025-02-18,1,2,450.01,2774.1
2025-02-18,2,3,450.01,2777.6
2025-02-18,3,4,450.01,2775.2
2025-02-18,4,5,469.54,2898.6
2025-02-18,5,6,498.15,3327.1
2025-02-18,6,7,637.0,4763.6
2025-02-18,7,8,844.0,4355.0
2025-02-18,8,9,710.0,4175.4
2025-02-18,9,10,541.65,3520.6
2025-02-18,10,11,460.0,3615.6
2025-02-18,11,12,428.2,4043.8
2025-02-18,12,13,399.74,3965.5
2025-02-18,13,14,409.0,3693.2
2025-02-18,14,15,459.51,3494.6
2025-02-18,15,16,600.0,4043.5
2025-02-18,16,17,861.7,4529.3
2025-02-18,17,18,967.88,5252.6
2025-02-18,18,19,899.92,5148.3
2025-02-18,19,20,870.2,5286.5
2025-02-18,20,21,783.43,5050.8
2025-02-18,21,22,594.0,4217.0
2025-02-18,22,23,573.11,4765.7
2025-02-18,23,24,498.28,4071.2
2025-02-19,0,1,472.0,3769.8
2025-02-19,1,2,451.76,3600.7
2025-02-19,2,3,451.01,3525.8
2025-02-19,3,4,451.01,3471.8
2025-02-19,4,5,451.01,3279.5
2025-02-19,5,6,472.6,3552.3
2025-02-19,6,7,616.0,4738.1
2025-02-19,7,8,686.0,4056.9
2025-02-19,8,9,582.0,3638.2
2025-02-19,9,10,471.0,2709.2
2025-02-19,10,11,393.78,3723.8
2025-02-19,11,12,350.79,4436.1
2025-02-19,12,13,330.0,4533.5
2025-02-19,13,14,355.49,3877.1
2025-02-19,14,15,378.28,3100.6
2025-02-19,15,16,459.64,2845.9
2025-02-19,16,17,569.0,3555.9
2025-02-19,17,18,623.09,3875.0
2025-02-19,18,19,592.0,4396.2
2025-02-19,19,20,550.0,4280.2
2025-02-19,20,21,483.2,3835.1
2025-02-19,21,22,415.8,3597.8
2025-02-19,22,23,430.0,3804.4
2025-02-19,23,24,366.7,3421.0
2025-02-20,0,1,341.72,3883.3
2025-02-20,1,2,314.37,3835.6
2025-02-20,2,3,318.6,3591.6
2025-02-20,3,4,322.4,3605.0
2025-02-20,4,5,339.58,3765.7
2025-02-20,5,6,404.89,3747.6
2025-02-20,6,7,603.61,4239.9
2025-02-20,7,8,640.24,4356.5
2025-02-20,8,9,579.4,4412.1
2025-02-20,9,10,470.0,4126.7
2025-02-20,10,11,353.6,4901.6
2025-02-20,11,12,314.4,5102.6
2025-02-20,12,13,299.99,5123.8
2025-02-20,13,14,343.9,4247.1
2025-02-20,14,15,391.93,3954.9
2025-02-20,15,16,465.31,3360.9
2025-02-20,16,17,529.76,4195.8
2025-02-20,17,18,613.59,4732.5
2025-02-20,18,19,529.5,4949.6
2025-02-20,19,20,502.5,5070.5
2025-02-20,20,21,449.99,4626.1
2025-02-20,21,22,438.99,4016.8
2025-02-20,22,23,442.12,4250.1
2025-02-20,23,24,390.0,4053.2
2025-02-21,0,1,367.8,3973.2
2025-02-21,1,2,350.0,3858.6
2025-02-21,2,3,333.99,3668.0
2025-02-21,3,4,340.0,3615.4
2025-02-21,4,5,339.58,3518.1
2025-02-21,5,6,366.8,3500.4
2025-02-21,6,7,441.36,3640.6
2025-02-21,7,8,449.0,3604.4
2025-02-21,8,9,380.04,4214.2
2025-02-21,9,10,320.0,4143.4
2025-02-21,10,11,165.0,4530.9
2025-02-21,11,12,35.0,4678.6
2025-02-21,12,13,1.0,4595.5
2025-02-21,13,14,120.0,4402.2
2025-02-21,14,15,224.02,4057.9
2025-02-21,15,16,395.11,3934.2
2025-02-21,16,17,494.67,3506.3
2025-02-21,17,18,494.57,4378.3
2025-02-21,18,19,497.5,4545.0
2025-02-21,19,20,483.4,4772.3
2025-02-21,20,21,460.5,4391.8
2025-02-21,21,22,445.57,4550.4
2025-02-21,22,23,404.9,4176.0
2025-02-21,23,24,364.0,3628.7
2025-02-22,0,1,369.77,3342.4
2025-02-22,1,2,359.89,3148.0
2025-02-22,2,3,346.0,2880.8
2025-02-22,3,4,355.3,2713.2
2025-02-22,4,5,346.0,2596.3
2025-02-22,5,6,370.6,2712.8
2025-02-22,6,7,412.65,2715.1
2025-02-22,7,8,443.92,2649.6
2025-02-22,8,9,427.99,3008.0
2025-02-22,9,10,389.7,2798.4
2025-02-22,10,11,371.6,2915.4
2025-02-22,11,12,410.0,3313.5
2025-02-22,12,13,393.59,3011.5
2025-02-22,13,14,439.89,2650.2
2025-02-22,14,15,471.99,2295.5
2025-02-22,15,16,484.89,2357.6
2025-02-22,16,17,556.52,2822.5
2025-02-22,17,18,672.1,3308.5
2025-02-22,18,19,672.25,3704.4
2025-02-22,19,20,797.93,3750.3
2025-02-22,20,21,899.0,3438.7
2025-02-22,21,22,684.22,3177.1
2025-02-22,22,23,497.2,2775.9
2025-02-22,23,24,478.1,2729.3
2025-02-23,0,1,450.0,2301.0
2025-02-23,1,2,428.71,2467.9
2025-02-23,2,3,402.0,2281.9
2025-02-23,3,4,399.94,2169.7
2025-02-23,4,5,400.0,2123.3
2025-02-23,5,6,460.0,2589.6
2025-02-23,6,7,690.0,4220.7
2025-02-23,7,8,834.0,3954.2
2025-02-23,8,9,760.0,4167.2
2025-02-23,9,10,614.0,3813.8
2025-02-23,10,11,520.0,3148.1
2025-02-23,11,12,460.0,3094.4
2025-02-23,12,13,448.2,2967.1
2025-02-23,13,14,468.0,2913.5
2025-02-23,14,15,460.0,3056.9
2025-02-23,15,16,550.0,3415.4
2025-02-23,16,17,660.0,3386.9
2025-02-23,17,18,708.0,3853.8
2025-02-23,18,19,684.0,4015.4
2025-02-23,19,20,606.29,3683.6
2025-02-23,20,21,543.6,3492.1
2025-02-23,21,22,449.8,3279.8
2025-02-23,22,23,470.0,2911.6
2025-02-23,23,24,454.04,2751.6
2025-02-24,0,1,353.46,2318.0
2025-02-24,1,2,352.56,2304.7
2025-02-24,2,3,363.5,2285.7
2025-02-24,3,4,373.52,2369.7
2025-02-24,4,5,398.34,2412.5
2025-02-24,5,6,438.46,2462.7
2025-02-24,6,7,550.0,3629.8
2025-02-24,7,8,640.0,4016.6
2025-02-24,8,9,658.2,3561.1
2025-02-24,9,10,562.8,3473.1
2025-02-24,10,11,518.0,3781.5
2025-02-24,11,12,465.72,4121.8
2025-02-24,12,13,466.68,4083.5
2025-02-24,13,14,475.46,3678.9
2025-02-24,14,15,524.0,3583.1
2025-02-24,15,16,590.0,3797.9
2025-02-24,16,17,750.0,4130.8
2025-02-24,17,18,905.67,4215.2
2025-02-24,18,19,922.8,4089.0
2025-02-24,19,20,864.5,4184.1
2025-02-24,20,21,721.59,3760.3
2025-02-24,21,22,600.0,3252.8
2025-02-24,22,23,570.6,3566.6
2025-02-24,23,24,524.7,2961.6
2025-02-25,0,1,506.0,2515.0
2025-02-25,1,2,490.0,2712.1
2025-02-25,2,3,479.7,3038.6
2025-02-25,3,4,475.5,3084.4
2025-02-25,4,5,485.57,2840.9
2025-02-25,5,6,508.0,2888.5
2025-02-25,6,7,663.28,4122.0
2025-02-25,7,8,770.0,3671.3
2025-02-25,8,9,756.9,3660.0
2025-02-25,9,10,646.92,3401.6
2025-02-25,10,11,561.86,3453.2
2025-02-25,11,12,543.95,3604.8
2025-02-25,12,13,526.0,3661.2
2025-02-25,13,14,533.3,3606.4
2025-02-25,14,15,545.9,3571.3
2025-02-25,15,16,587.57,3403.5
2025-02-25,16,17,654.72,3736.5
2025-02-25,17,18,750.0,3969.7
2025-02-25,18,19,780.0,3943.8
2025-02-25,19,20,729.3,3906.0
2025-02-25,20,21,649.3,3391.5
2025-02-25,21,22,538.0,2814.7
2025-02-25,22,23,512.49,3032.7
2025-02-25,23,24,474.0,2438.8
2025-02-26,0,1,473.9,2699.5
2025-02-26,1,2,462.0,2896.8
2025-02-26,2,3,447.8,3016.6
2025-02-26,3,4,447.8,3134.2
2025-02-26,4,5,455.7,2899.1
2025-02-26,5,6,470.0,3092.0
2025-02-26,6,7,574.0,4155.7
2025-02-26,7,8,717.9,3968.4
2025-02-26,8,9,718.0,4180.5
2025-02-26,9,10,619.6,3872.3
2025-02-26,10,11,550.0,3663.4
2025-02-26,11,12,522.0,3819.3
2025-02-26,12,13,514.7,3747.3
2025-02-26,13,14,520.0,3788.1
2025-02-26,14,15,523.38,3837.0
2025-02-26,15,16,562.0,4048.5
2025-02-26,16,17,675.0,4276.3
2025-02-26,17,18,778.0,4576.0
2025-02-26,18,19,798.0,4711.7
2025-02-26,19,20,750.0,4691.9
2025-02-26,20,21,678.53,4426.3
2025-02-26,21,22,582.7,3744.8
2025-02-26,22,23,530.0,4340.8
2025-02-26,23,24,514.7,3361.1
2025-02-27,0,1,496.4,3154.8
2025-02-27,1,2,473.0,3130.8
2025-02-27,2,3,464.6,3317.3
2025-02-27,3,4,461.0,3387.0
2025-02-27,4,5,467.8,3391.5
2025-02-27,5,6,495.0,3676.3
2025-02-27,6,7,613.25,4740.1
2025-02-27,7,8,788.0,4451.1
2025-02-27,8,9,750.01,4686.3
2025-02-27,9,10,629.89,4395.1
2025-02-27,10,11,565.88,4098.8
2025-02-27,11,12,527.17,4002.7
2025-02-27,12,13,505.0,3829.5
2025-02-27,13,14,500.0,3651.6
2025-02-27,14,15,509.0,3505.2
2025-02-27,15,16,548.0,3775.9
2025-02-27,16,17,650.0,3978.7
2025-02-27,17,18,720.0,4184.2
2025-02-27,18,19,761.1,4163.6
2025-02-27,19,20,698.97,4145.1
2025-02-27,20,21,620.41,3916.6
2025-02-27,21,22,537.8,3607.4
2025-02-27,22,23,531.0,3774.1
2025-02-27,23,24,498.9,3153.8
2025-02-28,0,1,516.0,3111.5
2025-02-28,1,2,498.7,2914.8
2025-02-28,2,3,483.85,2723.4
2025-02-28,3,4,477.25,2651.2
2025-02-28,4,5,479.68,2682.2
2025-02-28,5,6,494.0,2586.4
2025-02-28,6,7,504.0,2992.3
2025-02-28,7,8,532.69,3064.3
2025-02-28,8,9,539.7,3297.4
2025-02-28,9,10,526.0,3384.7
2025-02-28,10,11,501.57,3333.5
2025-02-28,11,12,500.0,3308.6
2025-02-28,12,13,479.89,3439.9
2025-02-28,13,14,500.0,3421.5
2025-02-28,14,15,500.0,3281.4
2025-02-28,15,16,495.17,3042.1
2025-02-28,16,17,521.59,3444.4
2025-02-28,17,18,600.0,3599.3
2025-02-28,18,19,628.16,3837.8
2025-02-28,19,20,604.0,3732.3
2025-02-28,20,21,550.0,3384.4
2025-02-28,21,22,514.7,3175.0
2025-02-28,22,23,500.0,3022.6
2025-02-28,23,24,466.36,2639.7
