date,hour_from,hour_to,price_pln_per_mwh,volume_mwh
2025-02-01,0,1,553.0,2477.4
2025-02-01,1,2,520.0,2769.7
2025-02-01,2,3,510.0,2632.2
2025-02-01,3,4,509.01,2772.0
2025-02-01,4,5,508.97,2671.0
2025-02-01,5,6,510.39,2473.9
2025-02-01,6,7,513.6,2726.9
2025-02-01,7,8,542.0,3053.2
2025-02-01,8,9,560.0,3238.8
2025-02-01,9,10,542.0,3100.1
2025-02-01,10,11,520.0,3039.7
2025-02-01,11,12,507.88,3086.9
2025-02-01,12,13,491.36,2880.2
2025-02-01,13,14,500.0,2920.3
2025-02-01,14,15,503.0,2911.3
2025-02-01,15,16,540.0,3240.7
2025-02-01,16,17,603.0,3660.2
2025-02-01,17,18,690.0,3894.5
2025-02-01,18,19,690.0,4156.8
2025-02-01,19,20,684.0,3811.1
2025-02-01,20,21,644.0,3730.4
2025-02-01,21,22,610.0,3650.1
2025-02-01,22,23,572.0,3653.4
2025-02-01,23,24,544.0,3207.5
2025-02-02,0,1,551.0,2865.2
2025-02-02,1,2,524.33,3226.7
2025-02-02,2,3,512.2,2965.9
2025-02-02,3,4,509.33,2918.6
2025-02-02,4,5,517.91,2917.0
2025-02-02,5,6,547.44,3332.7
2025-02-02,6,7,681.0,3700.3
2025-02-02,7,8,861.0,3295.6
2025-02-02,8,9,840.33,3653.3
2025-02-02,9,10,653.81,3807.7
2025-02-02,10,11,584.8,4020.9
2025-02-02,11,12,560.0,3937.2
2025-02-02,12,13,545.41,4048.4
2025-02-02,13,14,550.0,3917.2
2025-02-02,14,15,552.3,3658.2
2025-02-02,15,16,620.0,3983.7
2025-02-02,16,17,927.13,4311.4
2025-02-02,17,18,1000.0,4300.7
2025-02-02,18,19,900.0,4116.4
2025-02-02,19,20,849.99,4119.2
2025-02-02,20,21,726.0,4185.2
2025-02-02,21,22,570.0,3561.5
2025-02-02,22,23,588.0,4977.3
2025-02-02,23,24,556.63,4470.7
2025-02-03,0,1,559.08,3346.2
2025-02-03,1,2,530.01,3362.7
2025-02-03,2,3,522.0,3383.1
2025-02-03,3,4,520.0,3460.1
2025-02-03,4,5,524.12,3108.5
2025-02-03,5,6,550.0,3422.8
2025-02-03,6,7,683.0,4043.7
2025-02-03,7,8,850.0,3911.5
2025-02-03,8,9,854.56,4038.7
2025-02-03,9,10,643.5,3672.6
2025-02-03,10,11,544.0,3340.8
2025-02-03,11,12,497.9,3294.7
2025-02-03,12,13,450.01,3317.3
2025-02-03,13,14,463.0,3072.4
2025-02-03,14,15,497.9,2961.0
2025-02-03,15,16,587.2,3692.2
2025-02-03,16,17,720.0,3946.3
2025-02-03,17,18,823.47,4274.2
2025-02-03,18,19,786.4,4118.3
2025-02-03,19,20,750.0,4270.0
2025-02-03,20,21,656.0,3992.4
2025-02-03,21,22,563.0,3372.0
2025-02-03,22,23,541.18,3660.6
2025-02-03,23,24,510.0,3260.4
2025-02-04,0,1,506.61,2693.2
2025-02-04,1,2,491.0,2507.4
2025-02-04,2,3,490.0,2764.0
2025-02-04,3,4,494.5,2946.3
2025-02-04,4,5,502.0,3071.4
2025-02-04,5,6,521.89,3076.8
2025-02-04,6,7,630.0,3891.3
2025-02-04,7,8,720.0,3796.3
2025-02-04,8,9,737.93,3812.2
2025-02-04,9,10,582.0,3272.8
2025-02-04,10,11,528.75,3839.9
2025-02-04,11,12,497.41,3974.5
2025-02-04,12,13,470.0,4006.1
2025-02-04,13,14,487.05,3634.7
2025-02-04,14,15,510.0,3421.4
2025-02-04,15,16,560.55,3368.5
2025-02-04,16,17,696.9,3750.2
2025-02-04,17,18,750.0,3774.8
2025-02-04,18,19,721.62,3843.0
2025-02-04,19,20,731.89,3920.0
2025-02-04,20,21,662.47,3882.5
2025-02-04,21,22,590.0,3542.8
2025-02-04,22,23,589.78,4246.3
2025-02-04,23,24,547.7,3894.0
2025-02-05,0,1,560.0,3104.2
2025-02-05,1,2,536.0,3718.3
2025-02-05,2,3,531.0,3330.9
2025-02-05,3,4,530.41,3330.1
2025-02-05,4,5,540.0,3220.2
2025-02-05,5,6,556.0,3095.5
2025-02-05,6,7,668.05,3865.8
2025-02-05,7,8,851.6,3749.2
2025-02-05,8,9,965.0,4124.5
2025-02-05,9,10,830.0,4219.3
2025-02-05,10,11,726.91,4029.6
2025-02-05,11,12,680.0,4063.3
2025-02-05,12,13,650.19,4032.4
2025-02-05,13,14,650.0,4120.2
2025-02-05,14,15,636.3,3885.8
2025-02-05,15,16,680.63,4061.5
2025-02-05,16,17,750.0,4055.2
2025-02-05,17,18,765.0,4340.2
2025-02-05,18,19,753.7,4275.4
2025-02-05,19,20,740.0,4219.7
2025-02-05,20,21,652.8,3858.2
2025-02-05,21,22,570.8,3313.5
2025-02-05,22,23,545.08,3747.0
2025-02-05,23,24,514.0,3364.0
2025-02-06,0,1,511.57,2683.2
2025-02-06,1,2,494.0,2589.6
2025-02-06,2,3,479.87,2536.4
2025-02-06,3,4,469.99,2574.6
2025-02-06,4,5,490.33,2649.4
2025-02-06,5,6,512.0,3090.9
2025-02-06,6,7,655.3,4035.8
2025-02-06,7,8,720.0,3904.3
2025-02-06,8,9,720.0,3924.5
